"age","gender","ethn","edu","ses"
"28","1","5","4","9"
"22","1","5","4","8"
"47","1","1","4","6"
"45","1","5","4","8"
"55","2","5","5","7"
"28","1","2","4","8"
"33","1","5","2","8"
"32","2","5","2","8"
"24","2","5","4","6"
"22","1","6","2","7"
"27","1","5","4","4"
"39","2","5","4","5"
"20","1","5","4","6"
"28","1","5","6","5"
"29","1","2","5","8"
"40","1","5","5","5"
"31","1","1","4","5"
"40","2","5","5","9"
"34","2","2","6","8"
"35","2","5","5","7"
"34","1","5","8","4"
"32","1","5","2","7"
"25","2","5","5","4"
"26","2","5","5","5"
"20","1","1","4","3"
"22","1","5","4","7"
"31","2","5","5","8"
"35","2","3","4","5"
"28","2","5","5","5"
"20","2","5","4","4"
"27","1","5","7","6"
"25","1","2","2","8"
"23","1","5","4","6"
"30","2","5","5","6"
"25","2","5","5","5"
"33","2","5","5","7"
"36","2","5","5","5"
"21","1","5","4","4"
"22","1","5","4","7"
"29","1","5","4","8"
"38","2","5","4","8"
"20","2","5","4","6"
"46","2","5","5","4"
"29","2","5","7","5"
"52","2","3","5","5"
"28","2","3","5","7"
"28","1","5","4","4"
"55","2","2","3","8"
"29","1","5","2","8"
"55","2","2","3","8"
"30","1","5","4","8"
"32","2","5","4","7"
"31","2","5","5","8"
"49","2","5","2","8"
"37","2","5","2","9"
"40","2","5","4","7"
"44","1","5","3","5"
"32","1","2","5","4"
"24","1","3","5","5"
"31","1","2","2","7"
"40","2","5","2","5"
"21","2","5","4","7"
"44","1","5","4","7"
"53","2","5","5","6"
"32","2","5","4","5"
"30","1","5","5","6"
"37","1","5","4","7"
"48","1","5","6","8"
"30","1","5","5","5"
"23","1","5","6","3"
"30","2","1","5","4"
"51","1","5","5","5"
"31","2","5","5","7"
"30","1","1","5","6"
"42","2","5","5","7"
"34","1","2","3","5"
"64","2","5","5","5"
"21","1","5","4","9"
"26","2","5","5","7"
"54","2","5","5","8"
"30","2","5","4","7"
"43","1","5","3","6"
"33","1","5","4","5"
"28","1","5","4","8"
"31","2","5","5","5"
"50","2","5","5","6"
"33","1","5","5","6"
"25","1","3","5","10"
"27","2","5","5","5"
"49","1","5","3","7"
"29","1","5","4","7"
"22","2","5","4","6"
"30","1","4","5","5"
"30","1","3","5","7"
"40","2","5","4","7"
"36","2","5","5","8"
"32","2","5","5","5"
"40","2","5","6","4"
"38","2","5","4","6"
"29","1","","6","7"
"22","1","5","5","7"
